project_type,state,district,current_stage,parcel_count,objection_count,document_turnaround_days,officer_open_load,days_in_compensation,delay_days_remaining,compensation_days
irrigation,Gujarat,Nashik,notification,3,2,23,9,102,312.0,115.0
rail,Maharashtra,Nagpur,objection,2,3,44,50,111,312.0,162.0
highway,Karnataka,Pune,objection,1,1,23,35,45,234.0,95.0
rail,Karnataka,Satara,possession,3,0,45,42,42,152.0,110.0
rail,Maharashtra,Pune,verification,2,0,11,20,47,220.0,67.0
highway,Karnataka,Satara,award,6,0,8,4,40,129.0,55.0
highway,Gujarat,Nagpur,verification,5,1,38,15,110,265.0,115.0
irrigation,Karnataka,Satara,notification,1,1,10,24,110,303.0,112.0
urban_transit,Madhya Pradesh,Indore,notification,3,2,6,30,97,306.0,110.0
urban_transit,Gujarat,Ahmedabad,notification,5,4,30,10,73,364.0,132.0
urban_transit,Karnataka,Ahmedabad,notification,3,3,17,36,104,324.0,125.0
rail,Karnataka,Pune,notification,5,1,25,45,11,327.0,93.0
highway,Maharashtra,Satara,possession,2,3,28,23,90,164.0,131.0
highway,Karnataka,Indore,possession,6,0,5,11,72,64.0,70.0
rail,Madhya Pradesh,Indore,objection,4,3,39,47,73,293.0,139.0
highway,Karnataka,Ahmedabad,award,4,3,28,29,75,234.0,125.0
urban_transit,Karnataka,Pune,notification,5,2,5,42,105,322.0,122.0
irrigation,Madhya Pradesh,Satara,objection,2,1,27,30,3,241.0,83.0
rail,Karnataka,Nashik,compensation,1,5,13,33,36,220.0,123.0
urban_transit,Maharashtra,Ahmedabad,compensation,6,1,12,42,99,144.0,106.0
irrigation,Karnataka,Indore,possession,1,2,11,9,80,105.0,95.0
urban_transit,Maharashtra,Ahmedabad,verification,5,2,36,23,23,293.0,99.0
rail,Maharashtra,Ahmedabad,award,1,1,24,30,46,190.0,92.0
highway,Maharashtra,Satara,notification,6,2,40,25,52,341.0,115.0
rail,Gujarat,Ahmedabad,verification,5,1,9,37,78,267.0,103.0
highway,Madhya Pradesh,Satara,verification,3,2,39,21,53,299.0,113.0
highway,Maharashtra,Nagpur,notification,1,1,39,14,20,312.0,88.0
urban_transit,Karnataka,Nashik,notification,2,0,19,48,104,284.0,104.0
urban_transit,Madhya Pradesh,Nagpur,objection,1,4,8,35,78,275.0,127.0
highway,Gujarat,Nashik,compensation,1,1,8,49,67,132.0,89.0
rail,Maharashtra,Nashik,objection,4,0,34,41,86,226.0,107.0
irrigation,Gujarat,Satara,objection,1,1,26,20,29,232.0,87.0
irrigation,Karnataka,Pune,possession,5,0,11,49,6,94.0,67.0
urban_transit,Madhya Pradesh,Nashik,objection,3,1,31,17,68,247.0,108.0
urban_transit,Gujarat,Nagpur,award,4,3,45,34,26,289.0,136.0
highway,Gujarat,Satara,objection,6,4,42,50,50,308.0,139.0
rail,Maharashtra,Satara,award,5,0,9,35,59,152.0,76.0
highway,Maharashtra,Nashik,award,3,1,21,33,93,175.0,101.0
highway,Madhya Pradesh,Indore,possession,1,1,14,33,99,91.0,98.0
irrigation,Karnataka,Satara,verification,4,1,29,44,106,285.0,125.0
rail,Karnataka,Indore,notification,6,2,33,42,50,357.0,123.0
rail,Madhya Pradesh,Ahmedabad,notification,2,1,42,27,13,333.0,97.0
highway,Maharashtra,Nashik,objection,1,2,16,10,65,240.0,101.0
irrigation,Gujarat,Nashik,notification,6,4,34,41,54,416.0,154.0
rail,Gujarat,Nagpur,verification,1,1,21,16,99,243.0,98.0
irrigation,Maharashtra,Pune,compensation,2,0,31,25,99,135.0,101.0
urban_transit,Karnataka,Pune,notification,6,1,8,37,78,292.0,97.0
urban_transit,Maharashtra,Indore,notification,6,2,30,6,8,319.0,86.0
highway,Maharashtra,Ahmedabad,award,6,2,5,30,27,183.0,80.0
rail,Maharashtra,Indore,possession,6,0,35,31,99,89.0,98.0
highway,Madhya Pradesh,Nagpur,verification,6,1,30,41,22,299.0,101.0
irrigation,Maharashtra,Nashik,verification,4,1,14,7,55,228.0,74.0
irrigation,Maharashtra,Nagpur,verification,5,2,14,37,68,271.0,103.0
irrigation,Maharashtra,Indore,verification,4,2,39,14,22,309.0,105.0
irrigation,Maharashtra,Indore,award,2,2,18,8,89,189.0,104.0
urban_transit,Maharashtra,Satara,compensation,6,2,37,42,77,182.0,121.0
irrigation,Maharashtra,Indore,verification,1,4,44,37,120,369.0,174.0
highway,Maharashtra,Nashik,notification,1,2,26,15,21,309.0,86.0
urban_transit,Madhya Pradesh,Nashik,compensation,5,0,20,48,24,177.0,95.0
rail,Gujarat,Pune,compensation,4,2,25,28,4,162.0,83.0
rail,Gujarat,Pune,award,3,0,37,48,39,178.0,87.0
irrigation,Gujarat,Nashik,notification,4,0,10,47,92,269.0,92.0
irrigation,Gujarat,Satara,award,5,0,15,35,35,150.0,67.0
irrigation,Gujarat,Satara,award,1,0,3,48,21,154.0,64.0
urban_transit,Maharashtra,Nagpur,compensation,1,0,2,39,100,122.0,93.0
rail,Madhya Pradesh,Satara,compensation,1,1,22,21,89,148.0,103.0
urban_transit,Gujarat,Pune,possession,5,1,22,30,74,121.0,103.0
urban_transit,Gujarat,Satara,award,1,0,10,35,79,176.0,94.0
irrigation,Karnataka,Pune,objection,1,0,27,37,87,227.0,106.0
highway,Gujarat,Nashik,objection,6,2,36,11,28,236.0,90.0
irrigation,Madhya Pradesh,Ahmedabad,verification,4,1,3,20,99,228.0,89.0
highway,Madhya Pradesh,Nashik,award,5,2,19,25,98,193.0,111.0
highway,Gujarat,Ahmedabad,verification,3,0,14,12,32,197.0,51.0
irrigation,Madhya Pradesh,Indore,award,1,1,7,21,70,126.0,67.0
rail,Maharashtra,Nashik,award,4,2,23,23,16,217.0,93.0
urban_transit,Karnataka,Satara,possession,6,4,39,44,106,207.0,162.0
urban_transit,Gujarat,Indore,objection,4,2,15,48,0,247.0,87.0
urban_transit,Gujarat,Nagpur,notification,5,1,8,31,6,262.0,58.0
irrigation,Maharashtra,Indore,possession,6,4,38,9,117,181.0,150.0
urban_transit,Madhya Pradesh,Pune,award,3,0,39,9,116,188.0,114.0
irrigation,Maharashtra,Pune,objection,2,3,23,18,36,279.0,113.0
urban_transit,Maharashtra,Nashik,award,6,1,3,37,63,176.0,89.0
rail,Maharashtra,Satara,compensation,1,3,25,15,59,179.0,109.0
urban_transit,Karnataka,Pune,compensation,4,2,11,31,4,156.0,78.0
rail,Gujarat,Nagpur,possession,4,1,38,21,81,127.0,110.0
highway,Maharashtra,Ahmedabad,verification,1,1,44,29,42,309.0,114.0
irrigation,Madhya Pradesh,Satara,award,6,6,11,17,6,271.0,117.0
urban_transit,Karnataka,Pune,notification,5,2,41,39,88,368.0,142.0
irrigation,Gujarat,Ahmedabad,notification,4,3,38,17,7,351.0,104.0
urban_transit,Gujarat,Nagpur,possession,1,3,18,20,107,138.0,123.0
rail,Madhya Pradesh,Satara,possession,5,1,7,17,2,89.0,60.0
urban_transit,Karnataka,Ahmedabad,objection,3,2,37,45,94,294.0,144.0
rail,Karnataka,Ahmedabad,possession,3,2,34,11,0,141.0,87.0
irrigation,Maharashtra,Pune,compensation,6,2,44,46,55,197.0,122.0
highway,Madhya Pradesh,Ahmedabad,award,5,2,44,5,33,236.0,109.0
rail,Madhya Pradesh,Ahmedabad,possession,5,1,44,27,109,131.0,124.0
rail,Maharashtra,Nashik,notification,5,0,42,28,14,298.0,80.0
rail,Madhya Pradesh,Ahmedabad,compensation,6,2,43,15,87,173.0,118.0
irrigation,Gujarat,Nagpur,verification,4,1,3,42,33,252.0,80.0
rail,Gujarat,Nashik,compensation,2,0,23,51,75,146.0,100.0
urban_transit,Gujarat,Indore,verification,5,0,13,14,84,222.0,81.0
highway,Gujarat,Nashik,notification,6,3,18,37,67,313.0,107.0
highway,Karnataka,Ahmedabad,objection,5,2,10,13,117,214.0,107.0
rail,Maharashtra,Indore,objection,3,0,39,14,38,237.0,92.0
urban_transit,Maharashtra,Pune,verification,4,2,36,20,6,300.0,96.0
urban_transit,Madhya Pradesh,Nagpur,objection,3,1,4,33,45,207.0,79.0
highway,Karnataka,Indore,notification,1,1,14,35,0,296.0,72.0
highway,Karnataka,Ahmedabad,notification,3,1,10,27,67,269.0,82.0
highway,Karnataka,Nagpur,compensation,2,0,16,4,53,103.0,65.0
highway,Karnataka,Satara,verification,2,0,21,51,104,247.0,105.0
urban_transit,Maharashtra,Satara,compensation,5,0,26,29,56,172.0,103.0
rail,Gujarat,Ahmedabad,objection,4,3,32,38,14,261.0,101.0
irrigation,Karnataka,Ahmedabad,verification,6,1,4,51,32,245.0,78.0
urban_transit,Madhya Pradesh,Indore,possession,1,4,4,51,78,167.0,130.0
highway,Madhya Pradesh,Nagpur,compensation,5,1,9,40,39,157.0,90.0
irrigation,Maharashtra,Indore,verification,4,2,13,23,58,264.0,94.0
highway,Maharashtra,Nashik,compensation,5,0,22,31,120,110.0,97.0
highway,Gujarat,Ahmedabad,compensation,2,5,37,25,47,252.0,144.0
urban_transit,Maharashtra,Nashik,notification,3,0,30,41,53,308.0,98.0
highway,Maharashtra,Satara,objection,1,1,37,17,24,225.0,83.0
urban_transit,Madhya Pradesh,Nashik,notification,1,1,4,51,4,287.0,70.0
urban_transit,Karnataka,Nashik,notification,4,1,31,17,46,326.0,102.0
highway,Gujarat,Nashik,verification,4,1,22,45,34,274.0,94.0
highway,Gujarat,Pune,verification,1,3,45,8,43,310.0,115.0
rail,Maharashtra,Nagpur,notification,1,2,23,7,55,313.0,98.0
urban_transit,Gujarat,Nashik,verification,2,4,22,18,12,330.0,112.0
urban_transit,Maharashtra,Satara,possession,2,3,29,40,66,161.0,124.0
irrigation,Karnataka,Indore,objection,1,0,44,42,10,263.0,99.0
urban_transit,Gujarat,Pune,verification,3,2,44,28,83,326.0,137.0
urban_transit,Madhya Pradesh,Satara,award,2,0,4,13,103,160.0,91.0
urban_transit,Madhya Pradesh,Indore,award,4,4,16,7,71,212.0,110.0
urban_transit,Maharashtra,Nashik,compensation,5,2,8,30,113,158.0,116.0
rail,Karnataka,Indore,compensation,4,3,43,6,76,207.0,129.0
highway,Madhya Pradesh,Pune,objection,3,4,29,17,74,285.0,131.0
urban_transit,Maharashtra,Indore,compensation,2,0,38,38,83,169.0,114.0
urban_transit,Karnataka,Nashik,notification,4,2,31,46,26,335.0,105.0
urban_transit,Maharashtra,Satara,award,4,2,22,26,66,204.0,105.0
rail,Maharashtra,Nagpur,verification,4,3,26,28,75,294.0,118.0
irrigation,Maharashtra,Indore,award,1,2,30,37,26,202.0,93.0
urban_transit,Gujarat,Ahmedabad,notification,3,1,11,41,5,328.0,89.0
irrigation,Karnataka,Pune,award,1,1,6,5,39,140.0,60.0
irrigation,Karnataka,Nashik,notification,6,2,33,38,67,345.0,123.0
highway,Karnataka,Nashik,possession,4,1,29,51,45,159.0,114.0
highway,Maharashtra,Nashik,notification,2,3,44,27,109,377.0,154.0
rail,Madhya Pradesh,Nashik,award,2,1,19,39,34,197.0,91.0
irrigation,Maharashtra,Nagpur,award,3,2,12,9,4,192.0,74.0
irrigation,Gujarat,Ahmedabad,compensation,4,2,27,38,62,170.0,108.0
highway,Gujarat,Pune,award,3,1,29,23,23,192.0,84.0
highway,Karnataka,Pune,possession,6,2,26,42,106,163.0,137.0
rail,Maharashtra,Nashik,notification,6,1,14,34,101,285.0,103.0
urban_transit,Maharashtra,Ahmedabad,compensation,4,1,10,26,44,111.0,69.0
highway,Maharashtra,Nagpur,award,6,0,40,31,16,221.0,97.0
highway,Madhya Pradesh,Ahmedabad,notification,6,4,42,16,8,407.0,131.0
rail,Gujarat,Ahmedabad,notification,4,4,16,31,51,360.0,123.0
rail,Gujarat,Ahmedabad,possession,6,2,19,34,110,131.0,122.0
urban_transit,Maharashtra,Satara,notification,6,1,37,31,47,281.0,85.0
highway,Karnataka,Ahmedabad,notification,5,0,27,22,119,309.0,119.0
irrigation,Maharashtra,Indore,award,1,0,45,48,10,217.0,96.0
urban_transit,Madhya Pradesh,Indore,possession,6,1,35,15,48,98.0,84.0
highway,Karnataka,Indore,possession,3,2,19,11,106,120.0,112.0
urban_transit,Karnataka,Nagpur,objection,5,2,7,46,72,233.0,104.0
urban_transit,Madhya Pradesh,Ahmedabad,notification,5,2,31,18,97,276.0,99.0
rail,Madhya Pradesh,Indore,possession,6,3,26,17,0,158.0,96.0
rail,Karnataka,Nashik,verification,6,4,14,5,23,294.0,97.0
highway,Karnataka,Pune,verification,2,1,2,31,18,246.0,70.0
rail,Gujarat,Indore,objection,5,2,33,49,67,266.0,122.0
urban_transit,Gujarat,Indore,notification,6,2,42,26,22,350.0,109.0
urban_transit,Karnataka,Nagpur,verification,6,0,19,44,70,248.0,92.0
urban_transit,Karnataka,Pune,compensation,5,2,43,40,98,217.0,145.0
rail,Maharashtra,Satara,compensation,3,1,11,38,77,123.0,88.0
urban_transit,Maharashtra,Ahmedabad,award,6,1,18,24,25,171.0,74.0
irrigation,Madhya Pradesh,Ahmedabad,award,4,1,20,35,21,218.0,95.0
irrigation,Karnataka,Ahmedabad,award,2,1,38,50,107,235.0,138.0
irrigation,Gujarat,Pune,verification,5,3,4,31,35,284.0,97.0
irrigation,Gujarat,Indore,possession,4,2,8,10,106,102.0,103.0
irrigation,Karnataka,Satara,award,6,2,24,37,89,223.0,124.0
rail,Gujarat,Indore,objection,5,1,12,20,67,206.0,86.0
highway,Maharashtra,Pune,verification,1,0,37,38,92,247.0,102.0
rail,Maharashtra,Ahmedabad,objection,2,5,29,29,108,316.0,160.0
rail,Gujarat,Nagpur,compensation,1,1,33,9,33,140.0,80.0
irrigation,Madhya Pradesh,Satara,possession,4,2,41,12,111,185.0,147.0
highway,Maharashtra,Indore,objection,6,3,36,37,95,279.0,138.0
urban_transit,Madhya Pradesh,Pune,compensation,5,3,39,25,13,232.0,120.0
highway,Maharashtra,Pune,verification,4,3,22,17,34,288.0,99.0
rail,Karnataka,Indore,notification,1,1,45,17,90,333.0,123.0
rail,Madhya Pradesh,Pune,possession,4,3,5,51,30,138.0,98.0
irrigation,Madhya Pradesh,Pune,notification,5,2,31,11,43,339.0,108.0
rail,Karnataka,Ahmedabad,verification,3,1,6,25,114,225.0,94.0
irrigation,Karnataka,Pune,objection,2,0,2,11,8,168.0,44.0
highway,Maharashtra,Ahmedabad,award,6,1,17,9,42,185.0,84.0
highway,Gujarat,Pune,objection,2,1,27,41,79,229.0,106.0
irrigation,Madhya Pradesh,Ahmedabad,possession,5,1,36,13,95,113.0,107.0
highway,Karnataka,Pune,compensation,1,2,3,16,20,127.0,67.0
highway,Madhya Pradesh,Pune,award,6,0,27,43,93,176.0,103.0
rail,Maharashtra,Pune,notification,2,2,32,31,70,325.0,114.0
irrigation,Maharashtra,Indore,notification,1,3,5,47,53,324.0,106.0
irrigation,Madhya Pradesh,Nagpur,possession,2,2,41,5,43,126.0,96.0
urban_transit,Gujarat,Indore,objection,4,3,30,35,35,287.0,119.0
urban_transit,Maharashtra,Nashik,award,1,1,3,4,93,142.0,80.0
highway,Gujarat,Nashik,verification,2,3,19,45,62,310.0,122.0
rail,Madhya Pradesh,Satara,objection,5,2,18,28,84,247.0,114.0
urban_transit,Maharashtra,Nashik,award,5,3,11,12,52,200.0,97.0
irrigation,Gujarat,Nagpur,objection,4,1,23,45,47,236.0,98.0
rail,Maharashtra,Indore,award,3,1,17,14,119,180.0,109.0
rail,Madhya Pradesh,Satara,award,5,3,28,19,96,228.0,128.0
rail,Maharashtra,Nagpur,compensation,1,2,27,24,89,163.0,112.0
highway,Gujarat,Nashik,compensation,2,0,18,45,16,140.0,75.0
rail,Gujarat,Indore,verification,2,1,6,9,120,218.0,91.0
highway,Gujarat,Ahmedabad,objection,1,1,43,19,31,262.0,104.0
highway,Karnataka,Satara,possession,5,0,28,32,111,98.0,106.0
rail,Karnataka,Nagpur,award,5,4,26,29,77,271.0,144.0
irrigation,Karnataka,Indore,verification,2,2,36,15,105,306.0,133.0
highway,Madhya Pradesh,Satara,objection,1,0,3,10,99,160.0,72.0
urban_transit,Gujarat,Pune,possession,2,2,20,4,54,122.0,94.0
irrigation,Karnataka,Ahmedabad,award,4,1,27,47,117,191.0,120.0
urban_transit,Gujarat,Indore,notification,6,1,4,39,17,296.0,77.0
rail,Gujarat,Satara,notification,5,3,25,22,86,372.0,140.0
rail,Madhya Pradesh,Pune,award,6,1,6,36,45,185.0,87.0
irrigation,Gujarat,Indore,verification,3,1,2,24,19,215.0,56.0
rail,Karnataka,Pune,award,4,0,45,27,74,200.0,108.0
urban_transit,Karnataka,Satara,compensation,4,1,35,35,44,146.0,90.0
highway,Maharashtra,Nashik,possession,4,0,43,26,42,145.0,104.0
highway,Maharashtra,Ahmedabad,award,4,1,28,20,78,170.0,93.0
highway,Karnataka,Satara,verification,5,2,30,37,79,304.0,125.0
urban_transit,Madhya Pradesh,Pune,objection,4,1,2,9,63,196.0,77.0
irrigation,Karnataka,Nagpur,award,1,3,29,32,29,248.0,116.0
irrigation,Karnataka,Pune,objection,4,2,37,14,17,246.0,92.0
rail,Madhya Pradesh,Nagpur,compensation,3,2,36,24,94,167.0,118.0
highway,Maharashtra,Nashik,objection,5,1,40,48,46,267.0,115.0
urban_transit,Madhya Pradesh,Ahmedabad,notification,6,0,17,39,116,271.0,101.0
rail,Madhya Pradesh,Pune,verification,5,3,39,45,18,322.0,115.0
urban_transit,Karnataka,Pune,compensation,2,2,30,9,81,178.0,115.0
irrigation,Madhya Pradesh,Ahmedabad,verification,6,0,20,29,92,249.0,99.0
urban_transit,Karnataka,Indore,objection,5,1,27,16,81,222.0,100.0
irrigation,Karnataka,Nagpur,possession,4,2,45,26,73,154.0,123.0
urban_transit,Madhya Pradesh,Nashik,compensation,6,0,29,30,110,138.0,107.0
highway,Gujarat,Ahmedabad,possession,2,3,33,12,43,162.0,113.0
urban_transit,Madhya Pradesh,Satara,compensation,3,0,34,28,69,152.0,99.0
rail,Madhya Pradesh,Nagpur,award,6,1,6,29,112,157.0,97.0
highway,Gujarat,Satara,compensation,6,1,2,47,43,146.0,86.0
highway,Gujarat,Satara,objection,2,0,5,9,112,158.0,76.0
irrigation,Gujarat,Ahmedabad,notification,2,0,7,49,102,263.0,92.0
urban_transit,Karnataka,Ahmedabad,award,1,0,38,48,38,202.0,97.0
irrigation,Gujarat,Indore,notification,6,2,45,25,15,341.0,103.0
irrigation,Maharashtra,Satara,objection,5,4,5,19,19,229.0,83.0
rail,Gujarat,Nagpur,award,2,0,32,42,87,192.0,108.0
irrigation,Madhya Pradesh,Nagpur,compensation,5,0,27,28,87,144.0,101.0
rail,Gujarat,Nagpur,notification,2,2,17,38,45,325.0,103.0
urban_transit,Gujarat,Nagpur,compensation,5,1,13,10,110,120.0,95.0
urban_transit,Gujarat,Indore,notification,1,4,7,31,36,343.0,109.0
irrigation,Maharashtra,Nagpur,possession,5,3,9,32,44,117.0,92.0
highway,Madhya Pradesh,Satara,possession,6,2,43,27,32,160.0,111.0
highway,Maharashtra,Satara,award,4,4,38,5,107,235.0,137.0
urban_transit,Gujarat,Nashik,notification,3,1,8,49,102,302.0,112.0
urban_transit,Karnataka,Pune,objection,2,4,23,6,71,277.0,124.0
urban_transit,Karnataka,Nashik,possession,6,2,44,12,91,160.0,130.0
urban_transit,Maharashtra,Ahmedabad,award,3,1,41,23,33,218.0,101.0
highway,Karnataka,Pune,compensation,2,1,18,38,1,158.0,78.0
rail,Madhya Pradesh,Indore,objection,1,0,38,50,39,234.0,96.0
rail,Karnataka,Nagpur,verification,3,3,36,39,7,331.0,114.0
irrigation,Karnataka,Indore,verification,2,2,39,21,74,293.0,117.0
irrigation,Karnataka,Ahmedabad,award,2,1,6,50,111,188.0,113.0
highway,Madhya Pradesh,Nashik,objection,1,0,19,5,51,176.0,65.0
highway,Gujarat,Nashik,compensation,4,1,17,39,113,156.0,116.0
urban_transit,Karnataka,Pune,possession,5,0,32,50,76,127.0,110.0
irrigation,Maharashtra,Nagpur,award,3,0,7,9,61,156.0,74.0
urban_transit,Maharashtra,Nashik,verification,2,1,40,16,22,293.0,97.0
rail,Maharashtra,Ahmedabad,award,4,0,14,20,18,155.0,62.0
urban_transit,Karnataka,Pune,award,6,0,14,19,72,134.0,71.0
highway,Maharashtra,Ahmedabad,notification,1,1,3,21,15,254.0,55.0
highway,Madhya Pradesh,Ahmedabad,compensation,1,2,28,16,11,186.0,94.0
urban_transit,Karnataka,Indore,possession,2,1,11,45,11,74.0,60.0
irrigation,Madhya Pradesh,Nashik,possession,2,2,39,30,14,132.0,92.0
urban_transit,Madhya Pradesh,Nashik,notification,6,2,33,51,114,344.0,141.0
irrigation,Gujarat,Satara,verification,1,1,45,9,74,260.0,101.0
highway,Maharashtra,Ahmedabad,objection,1,0,38,40,74,231.0,106.0
highway,Karnataka,Ahmedabad,objection,6,3,7,9,116,214.0,107.0
irrigation,Madhya Pradesh,Nagpur,notification,1,1,11,29,81,275.0,90.0
highway,Madhya Pradesh,Indore,award,6,3,20,11,21,221.0,96.0
highway,Gujarat,Nashik,notification,1,0,16,33,53,269.0,77.0
rail,Karnataka,Nagpur,award,5,1,40,7,84,199.0,109.0
irrigation,Karnataka,Pune,objection,5,0,44,13,25,242.0,91.0
urban_transit,Maharashtra,Ahmedabad,award,4,2,24,33,111,214.0,127.0
highway,Madhya Pradesh,Pune,possession,6,4,2,4,68,109.0,93.0
irrigation,Madhya Pradesh,Nagpur,verification,6,2,39,39,58,332.0,132.0
rail,Madhya Pradesh,Indore,compensation,3,2,12,28,76,150.0,100.0
rail,Gujarat,Ahmedabad,possession,1,2,21,48,100,131.0,120.0
irrigation,Gujarat,Indore,notification,2,0,31,32,106,302.0,113.0
rail,Madhya Pradesh,Indore,objection,2,1,25,24,13,237.0,84.0
urban_transit,Karnataka,Nashik,compensation,6,1,39,37,33,191.0,108.0
urban_transit,Karnataka,Nashik,verification,5,1,3,24,89,259.0,100.0
urban_transit,Gujarat,Satara,verification,3,3,26,27,73,286.0,114.0
irrigation,Gujarat,Ahmedabad,possession,6,1,11,12,48,89.0,76.0
irrigation,Karnataka,Nagpur,award,1,1,22,30,36,191.0,88.0
urban_transit,Karnataka,Satara,verification,1,0,17,35,44,234.0,75.0
irrigation,Madhya Pradesh,Nagpur,possession,5,1,11,13,61,87.0,79.0
highway,Madhya Pradesh,Ahmedabad,possession,4,2,45,16,97,151.0,128.0
urban_transit,Karnataka,Ahmedabad,notification,3,2,30,36,40,347.0,113.0
irrigation,Maharashtra,Pune,verification,5,0,15,34,52,228.0,75.0
irrigation,Gujarat,Pune,objection,5,3,42,45,1,283.0,109.0
irrigation,Maharashtra,Nashik,objection,6,3,6,11,110,205.0,101.0
urban_transit,Karnataka,Pune,notification,2,2,23,19,10,322.0,88.0
rail,Karnataka,Satara,award,6,3,6,15,95,218.0,119.0
urban_transit,Madhya Pradesh,Indore,award,3,1,19,22,38,182.0,83.0
urban_transit,Gujarat,Pune,verification,4,0,37,44,49,283.0,104.0
urban_transit,Karnataka,Ahmedabad,notification,5,1,18,20,42,259.0,69.0
urban_transit,Maharashtra,Indore,possession,4,1,26,31,52,135.0,103.0
rail,Karnataka,Nagpur,verification,3,2,14,51,45,277.0,100.0
rail,Gujarat,Nashik,possession,6,2,3,47,8,125.0,82.0
urban_transit,Madhya Pradesh,Pune,notification,2,0,13,31,4,260.0,55.0
highway,Maharashtra,Pune,possession,6,7,3,20,18,208.0,127.0
irrigation,Madhya Pradesh,Indore,award,1,2,16,35,38,209.0,98.0
irrigation,Gujarat,Nagpur,award,1,2,43,36,85,264.0,144.0
rail,Gujarat,Pune,award,1,3,5,51,88,220.0,123.0
irrigation,Madhya Pradesh,Satara,award,4,3,45,4,11,261.0,114.0
highway,Gujarat,Ahmedabad,possession,1,0,7,17,25,54.0,50.0
urban_transit,Maharashtra,Ahmedabad,award,6,1,45,44,60,230.0,120.0
highway,Karnataka,Satara,objection,4,3,26,32,89,294.0,140.0
irrigation,Karnataka,Ahmedabad,possession,2,1,24,13,29,118.0,84.0
highway,Gujarat,Nashik,compensation,5,1,5,43,54,115.0,76.0
highway,Karnataka,Satara,objection,2,1,25,30,53,228.0,95.0
urban_transit,Maharashtra,Nashik,compensation,1,1,16,23,49,123.0,77.0
highway,Madhya Pradesh,Indore,award,3,2,21,25,17,188.0,81.0
urban_transit,Gujarat,Pune,verification,1,0,8,30,115,245.0,103.0
irrigation,Madhya Pradesh,Pune,award,2,1,18,51,67,205.0,108.0
irrigation,Madhya Pradesh,Nagpur,verification,4,2,42,44,49,302.0,116.0
rail,Karnataka,Pune,verification,6,1,31,11,93,239.0,95.0
rail,Madhya Pradesh,Nagpur,verification,5,3,17,38,101,299.0,130.0
urban_transit,Gujarat,Nagpur,possession,2,2,23,49,79,150.0,122.0
irrigation,Gujarat,Satara,possession,6,1,28,14,67,111.0,95.0
irrigation,Karnataka,Pune,notification,5,1,8,18,72,279.0,87.0
highway,Karnataka,Satara,award,6,1,25,17,99,190.0,109.0
highway,Gujarat,Pune,compensation,3,2,18,26,80,153.0,103.0
highway,Madhya Pradesh,Pune,objection,4,3,33,31,1,311.0,118.0
irrigation,Maharashtra,Pune,notification,6,2,29,33,52,290.0,92.0
irrigation,Maharashtra,Nashik,objection,2,0,12,11,71,183.0,75.0
irrigation,Madhya Pradesh,Pune,objection,3,1,38,10,93,241.0,114.0
highway,Madhya Pradesh,Nashik,notification,4,1,13,29,120,274.0,103.0
rail,Madhya Pradesh,Indore,notification,2,2,3,23,95,321.0,115.0
irrigation,Karnataka,Pune,compensation,5,1,34,24,43,191.0,108.0
highway,Madhya Pradesh,Pune,award,6,1,28,43,24,193.0,88.0
rail,Maharashtra,Satara,notification,4,2,31,38,101,345.0,134.0
highway,Maharashtra,Ahmedabad,possession,6,1,31,23,83,129.0,111.0
rail,Maharashtra,Indore,notification,3,0,34,10,9,285.0,69.0
highway,Madhya Pradesh,Nagpur,verification,5,5,37,40,94,366.0,164.0
irrigation,Maharashtra,Nagpur,verification,5,2,24,36,2,261.0,77.0
irrigation,Madhya Pradesh,Pune,verification,5,1,23,22,80,240.0,92.0
urban_transit,Madhya Pradesh,Ahmedabad,objection,4,1,35,18,33,250.0,98.0
rail,Gujarat,Nashik,objection,1,3,25,37,57,266.0,117.0
highway,Maharashtra,Nagpur,award,6,2,31,22,111,217.0,128.0
highway,Madhya Pradesh,Indore,possession,6,1,37,10,1,117.0,76.0
rail,Karnataka,Pune,possession,5,2,38,26,43,144.0,107.0
irrigation,Karnataka,Nagpur,award,5,3,38,21,110,235.0,139.0
urban_transit,Madhya Pradesh,Indore,verification,2,0,13,21,23,234.0,65.0
rail,Maharashtra,Satara,notification,5,1,35,41,104,326.0,126.0
highway,Gujarat,Nashik,objection,2,2,21,8,89,242.0,111.0
rail,Madhya Pradesh,Nagpur,award,1,2,25,21,71,219.0,114.0
irrigation,Madhya Pradesh,Nashik,objection,2,2,26,49,111,275.0,140.0
urban_transit,Karnataka,Nagpur,compensation,5,1,7,29,8,137.0,68.0
irrigation,Madhya Pradesh,Ahmedabad,objection,2,3,29,25,69,269.0,122.0
irrigation,Karnataka,Pune,compensation,5,0,9,38,19,100.0,55.0
highway,Maharashtra,Ahmedabad,compensation,2,3,16,44,0,174.0,88.0
highway,Gujarat,Nagpur,possession,3,3,17,11,72,134.0,108.0
highway,Karnataka,Nashik,verification,2,1,10,46,79,253.0,98.0
rail,Madhya Pradesh,Nagpur,objection,3,3,39,23,107,313.0,156.0
urban_transit,Gujarat,Indore,objection,3,1,33,50,101,274.0,136.0
rail,Gujarat,Satara,award,5,1,16,39,49,192.0,93.0
highway,Maharashtra,Ahmedabad,objection,5,0,34,20,57,222.0,92.0
irrigation,Maharashtra,Nagpur,award,3,3,9,9,83,201.0,107.0
rail,Gujarat,Pune,objection,4,1,28,27,53,237.0,99.0
